tconst	averageRating	numVotes
tt0000001	5.7	1967
tt0000002	5.8	263
tt0000003	6.5	1803
tt0000004	5.6	179
tt0000005	6.2	2603
tt0000006	5.1	178
tt0000007	5.4	817
tt0000008	5.4	2101
tt0000009	5.3	204
tt0000010	6.9	7097
tt0000011	5.3	365
tt0000012	7.4	12171
tt0000013	5.7	1876
tt0000014	7.1	5474
tt0000015	6.2	1076
tt0000016	5.9	1490
tt0000017	4.6	324
tt0000018	5.3	592
tt0000019	5.1	31
